PurchaseOrderID OrderDate               TotalDue              VendorName                                         vendorID    employeeID  NextOrderfromEmployeeVendor                        Next2OrderfromEmployeeVendor
--------------- ----------------------- --------------------- -------------------------------------------------- ----------- ----------- -------------------------------------------------- --------------------------------------------------
310             2013-04-24 00:00:00.000 1043.5289             Varsity Sport Co.                                  1674        250         American Bikes                                     Vista Road Bikes
321             2013-04-25 00:00:00.000 22539.0165            American Bikes                                     1654        250         Vista Road Bikes                                   Victory Bikes
392             2013-05-29 00:00:00.000 41817.1504            Vista Road Bikes                                   1538        250         Victory Bikes                                      Bike Satellite Inc.
420             2013-08-04 00:00:00.000 3758.6299             Victory Bikes                                      1652        250         Bike Satellite Inc.                                Compete, Inc.
438             2013-08-05 00:00:00.000 2032.6535             Bike Satellite Inc.                                1604        250         Compete, Inc.                                      Trey Research
449             2013-08-06 00:00:00.000 8423.415              Compete, Inc.                                      1694        250         Trey Research                                      Federal Sport
473             2013-08-07 00:00:00.000 10828.6133            Trey Research                                      1584        250         Federal Sport                                      International Bicycles
542             2013-08-13 00:00:00.000 1410.2839             Federal Sport                                      1600        250         International Bicycles                             Superior Bicycles
553             2013-08-13 00:00:00.000 31160.2541            International Bicycles                             1526        250         Superior Bicycles                                  Gardner Touring Cycles
577             2013-08-15 00:00:00.000 100685.3348           Superior Bicycles                                  1576        250         Gardner Touring Cycles                             Speed Corporation
628             2013-08-19 00:00:00.000 502.6203              Gardner Touring Cycles                             1516        250         Speed Corporation                                  Bergeron Off-Roads
661             2013-08-22 00:00:00.000 616.0232              Speed Corporation                                  1622        250         Bergeron Off-Roads                                 Vista Road Bikes
685             2013-08-25 00:00:00.000 2675.3392             Bergeron Off-Roads                                 1540        250         Vista Road Bikes                                   Aurora Bike Center
750             2013-08-29 00:00:00.000 41817.1504            Vista Road Bikes                                   1538        250         Aurora Bike Center                                 Electronic Bike Repair & Supplies
765             2013-09-01 00:00:00.000 2370.704              Aurora Bike Center                                 1616        250         Electronic Bike Repair & Supplies                  Carlson Specialties
