ProductName                                        ListPrice             ProductSubCategory                                 ProductCategory                                    PriceRank            CategoryPriceRank    Top5PriceinCategory
-------------------------------------------------- --------------------- -------------------------------------------------- -------------------------------------------------- -------------------- -------------------- -------------------
All-Purpose Bike Stand                             159.00                Bike Stands                                        Accessories                                        192                  1                    Yes
Touring-Panniers, Large                            125.00                Panniers                                           Accessories                                        194                  2                    Yes
Hitch Rack - 4-Bike                                120.00                Bike Racks                                         Accessories                                        200                  3                    Yes
Hydration Pack - 70 oz.                            54.99                 Hydration Packs                                    Accessories                                        234                  4                    Yes
Headlights - Weatherproof                          44.99                 Lights                                             Accessories                                        248                  5                    Yes
HL Mountain Tire                                   35.00                 Tires and Tubes                                    Accessories                                        259                  6                    No
Headlights - Dual-Beam                             34.99                 Lights                                             Accessories                                        260                  7                    No
Sport-100 Helmet, Blue                             34.99                 Helmets                                            Accessories                                        261                  8                    No
Sport-100 Helmet, Red                              34.99                 Helmets                                            Accessories                                        262                  9                    No
Sport-100 Helmet, Black                            34.99                 Helmets                                            Accessories                                        263                  10                   No
HL Road Tire                                       32.60                 Tires and Tubes                                    Accessories                                        265                  11                   No
ML Mountain Tire                                   29.99                 Tires and Tubes                                    Accessories                                        266                  12                   No
Touring Tire                                       28.99                 Tires and Tubes                                    Accessories                                        267                  13                   No
Cable Lock                                         25.00                 Locks                                              Accessories                                        271                  14                   No
Mountain Pump                                      24.99                 Pumps                                              Accessories                                        272                  15                   No
ML Road Tire                                       24.99                 Tires and Tubes                                    Accessories                                        273                  16                   No
LL Mountain Tire                                   24.99                 Tires and Tubes                                    Accessories                                        274                  17                   No
Fender Set - Mountain                              21.98                 Fenders                                            Accessories                                        278                  18                   No
LL Road Tire                                       21.49                 Tires and Tubes                                    Accessories                                        279                  19                   No
Minipump                                           19.99                 Pumps                                              Accessories                                        281                  20                   No
Taillights - Battery-Powered                       13.99                 Lights                                             Accessories                                        282                  21                   No
Mountain Bottle Cage                               9.99                  Bottles and Cages                                  Accessories                                        283                  22                   No
Road Bottle Cage                                   8.99                  Bottles and Cages                                  Accessories                                        287                  23                   No
Bike Wash - Dissolver                              7.95                  Cleaners                                           Accessories                                        290                  24                   No
Water Bottle - 30 oz.                              4.99                  Bottles and Cages                                  Accessories                                        291                  25                   No
Touring Tire Tube                                  4.99                  Tires and Tubes                                    Accessories                                        292                  26                   No
Mountain Tire Tube                                 4.99                  Tires and Tubes                                    Accessories                                        293                  27                   No
Road Tire Tube                                     3.99                  Tires and Tubes                                    Accessories                                        294                  28                   No
Patch Kit/8 Patches                                2.29                  Tires and Tubes                                    Accessories                                        295                  29                   No
Road-150 Red, 62                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    Yes
Road-150 Red, 44                                   3578.27               Road Bikes                                         Bikes                                              2                    2                    Yes
